,cliente_id,recommender,ndcg_score,proporcion_rock
157,NIRVANAFRIK1001,"top_rating,listeners_1",0.0,0.6666666666666666
158,NIRVANAFRIK1001,whoosh_based_1,0.0,0.0
159,NIRVANAFRIK1001,surprise_based_1,0.0,0.5
160,Odunc2005,top_listeners_1,0.0,1.0
161,Odunc2005,top_rating_1,0.0,0.3333333333333333
162,Odunc2005,"top_rating,listeners_1",0.0,0.6666666666666666
163,Odunc2005,whoosh_based_1,0.0,1.0
164,Odunc2005,surprise_based_1,0.0,0.3333333333333333
165,DudeTheClown,top_listeners_1,0.0,1.0
166,DudeTheClown,top_rating_1,0.0,0.3333333333333333
167,DudeTheClown,"top_rating,listeners_1",0.0,0.6666666666666666
168,DudeTheClown,whoosh_based_1,0.0,0.0
169,DudeTheClown,surprise_based_1,0.0,0.5
170,LalaChanA,top_listeners_1,0.0,1.0
171,LalaChanA,top_rating_1,0.0,0.3333333333333333
172,LalaChanA,"top_rating,listeners_1",0.0,0.6666666666666666
173,LalaChanA,whoosh_based_1,0.0,1.0
174,LalaChanA,surprise_based_1,0.0,0.5
175,Karla23,top_listeners_1,0.0,1.0
176,Karla23,top_rating_1,0.0,0.3333333333333333
177,Karla23,"top_rating,listeners_1",0.0,0.6666666666666666
178,Karla23,whoosh_based_1,0.0,0.0
179,Karla23,surprise_based_1,0.0,0.5
180,PhilTLL,top_listeners_1,0.0,1.0
181,PhilTLL,top_rating_1,0.0,0.3333333333333333
182,PhilTLL,"top_rating,listeners_1",0.0,0.6666666666666666
183,PhilTLL,whoosh_based_1,0.0,0.0
184,PhilTLL,surprise_based_1,0.0,0.5
185,Landy_IK,top_listeners_1,0.0,1.0
186,Landy_IK,top_rating_1,0.0,0.3333333333333333
187,Landy_IK,"top_rating,listeners_1",0.0,0.6666666666666666
188,Landy_IK,whoosh_based_1,0.0,0.0
189,Landy_IK,surprise_based_1,0.0,0.5
190,JoaoCeccon,top_listeners_1,0.0,1.0
191,JoaoCeccon,top_rating_1,0.0,0.3333333333333333
192,JoaoCeccon,"top_rating,listeners_1",0.0,0.6666666666666666
193,JoaoCeccon,whoosh_based_1,0.0,0.8333333333333334
194,JoaoCeccon,surprise_based_1,0.0,0.3333333333333333
195,Rarve,top_listeners_1,0.0,1.0
196,Rarve,top_rating_1,0.0,0.3333333333333333
197,Rarve,"top_rating,listeners_1",0.0,0.6666666666666666
198,Rarve,whoosh_based_1,0.0,1.0
199,Rarve,surprise_based_1,0.0,0.5
200,nickwafer,top_listeners_1,0.0,1.0
201,nickwafer,top_rating_1,0.0,0.3333333333333333
202,nickwafer,"top_rating,listeners_1",0.0,0.6666666666666666
203,nickwafer,whoosh_based_1,0.0,0.5
204,nickwafer,surprise_based_1,0.0,0.5
205,Rogerrr57,top_listeners_1,0.0,1.0
206,Rogerrr57,top_rating_1,0.0,0.3333333333333333
207,Rogerrr57,"top_rating,listeners_1",0.0,0.6666666666666666
208,Rogerrr57,whoosh_based_1,0.0,1.0
209,Rogerrr57,surprise_based_1,0.0,0.6666666666666666
210,Eye_Gore,top_listeners_1,0.0,1.0
211,Eye_Gore,top_rating_1,0.0,0.3333333333333333
212,Eye_Gore,"top_rating,listeners_1",0.0,0.6666666666666666
213,Eye_Gore,whoosh_based_1,0.11706259313796354,0.5
214,Eye_Gore,surprise_based_1,0.0,0.3333333333333333
215,JldWinchester,top_listeners_1,0.0,1.0
216,JldWinchester,top_rating_1,0.0,0.3333333333333333
217,JldWinchester,"top_rating,listeners_1",0.0,0.6666666666666666
218,JldWinchester,whoosh_based_1,0.0,0.0
219,JldWinchester,surprise_based_1,0.0,0.5
220,solarpxnk,top_listeners_1,0.0,1.0
221,solarpxnk,top_rating_1,0.0,0.3333333333333333
222,solarpxnk,"top_rating,listeners_1",0.0,0.6666666666666666
223,solarpxnk,whoosh_based_1,0.0,1.0
224,solarpxnk,surprise_based_1,0.0,0.5
225,maple-lattes,top_listeners_1,0.0,1.0
226,maple-lattes,top_rating_1,0.0,0.3333333333333333
227,maple-lattes,"top_rating,listeners_1",0.0,0.6666666666666666
228,maple-lattes,whoosh_based_1,0.0,1.0
229,maple-lattes,surprise_based_1,0.0,0.5
230,sweet_ambrosia,top_listeners_1,0.0,1.0
231,sweet_ambrosia,top_rating_1,0.0,0.3333333333333333
232,sweet_ambrosia,"top_rating,listeners_1",0.0,0.6666666666666666
233,sweet_ambrosia,whoosh_based_1,0.0,0.0
234,sweet_ambrosia,surprise_based_1,0.0,0.5
235,sashmcbean,top_listeners_1,0.0,1.0
236,sashmcbean,top_rating_1,0.0,0.3333333333333333
237,sashmcbean,"top_rating,listeners_1",0.0,0.6666666666666666
238,sashmcbean,whoosh_based_1,0.0,0.0
239,sashmcbean,surprise_based_1,0.0,0.5
240,duda_a,top_listeners_1,0.0,1.0
241,duda_a,top_rating_1,0.0,0.3333333333333333
242,duda_a,"top_rating,listeners_1",0.0,0.6666666666666666
243,duda_a,whoosh_based_1,0.0,1.0
244,duda_a,surprise_based_1,0.0,0.5
245,beto-indie,top_listeners_1,0.0,1.0
246,beto-indie,top_rating_1,0.0,0.3333333333333333
247,beto-indie,"top_rating,listeners_1",0.0,0.6666666666666666
248,beto-indie,whoosh_based_1,0.0,1.0
249,beto-indie,surprise_based_1,0.0,0.5
250,ivoryz,top_listeners_1,0.0,1.0
251,ivoryz,top_rating_1,0.0,0.3333333333333333
252,ivoryz,"top_rating,listeners_1",0.0,0.6666666666666666
253,ivoryz,whoosh_based_1,0.0,1.0
254,ivoryz,surprise_based_1,0.0,0.6666666666666666
255,yayesia,top_listeners_1,0.0,1.0
256,yayesia,top_rating_1,0.0,0.3333333333333333
257,yayesia,"top_rating,listeners_1",0.0,0.6666666666666666
258,yayesia,whoosh_based_1,0.0,0.0
259,yayesia,surprise_based_1,0.0,0.5
260,miliano84,top_listeners_1,0.0,1.0
261,miliano84,top_rating_1,0.0,0.3333333333333333
262,miliano84,"top_rating,listeners_1",0.0,0.6666666666666666
263,miliano84,whoosh_based_1,0.0,1.0
264,miliano84,surprise_based_1,0.0,0.3333333333333333
265,honestabe09,top_listeners_1,0.0,1.0
266,honestabe09,top_rating_1,0.0,0.3333333333333333
267,honestabe09,"top_rating,listeners_1",0.0,0.6666666666666666
268,honestabe09,whoosh_based_1,0.0,0.6666666666666666
269,honestabe09,surprise_based_1,0.0,0.5
270,DariusLux,top_listeners_1,0.0,1.0
271,DariusLux,top_rating_1,0.0,0.3333333333333333
